# Judge: claude-3-haiku

# Test model scores:
83.67 gpt-4-0125-preview
82.96 claude-3-opus-20240229
82.69 claude-3-sonnet-20240229
82.86 claude-3-haiku-20240307
81.32 mistral-small
81.08 mistral-medium
82.6 mistral-large-2402
77.27 gpt-3.5-turbo-0301
83.9 01-ai/Yi-34B-Chat
81.22 openchat/openchat-3.5-1210
78.83 garage-bAInd/Platypus2-70B-instruct
81.17 mistralai/Mixtral-8x7B-Instruct-v0.1
81.97 Qwen/Qwen1.5-14B-Chat
63.34 Qwen/Qwen1.5-4B-Chat
79.03 google/gemma-2b-it
79.28 google/gemma-7b-it
78.48 meta-llama/Llama-2-7b-chat-hf
78.1 meta-llama/Llama-2-13b-chat-hf
83.63 sophosympatheia/Midnight-Miqu-70B-v1.5

# Stats:
mean_score 80.17894736842106
range 20.560000000000002
std_dev 4.567936435071507
CV 0.05697176858760577
std_dev_top_5 0.4639288738589167
pearson_arena_elo 0.6664676372888624
kendall_arena_elo 0.580952380952381
pearson_eq_bench 0.6754048870752009
kendall_eq_bench 0.48529411764705876
pearson_top_8_arena_elo -0.20172509316612589
kendall_top_8_arena_elo 0.06666666666666665
pearson_top_8_eq_bench -0.02168396120598602
kendall_top_8_eq_bench -0.04761904761904762
Judgemark Score: 28.52
Cost: $0.60
