# claude-3-sonnet-20240229

Test model scores:
80.09 gpt-4-0125-preview
77.1 claude-3-opus-20240229
77.21 claude-3-sonnet-20240229
75.18 claude-3-haiku-20240307
76.21 mistral-small
74.69 mistral-medium
76.46 mistral-large-2402
63.97 gpt-3.5-turbo-0301
77.37 01-ai/Yi-34B-Chat
71.34 openchat/openchat-3.5-1210
71.29 garage-bAInd/Platypus2-70B-instruct
75.34 mistralai/Mixtral-8x7B-Instruct-v0.1
74.33 Qwen/Qwen1.5-14B-Chat
48.78 Qwen/Qwen1.5-4B-Chat
66.84 google/gemma-2b-it
70.78 google/gemma-7b-it
68.4 meta-llama/Llama-2-7b-chat-hf
68.0 meta-llama/Llama-2-13b-chat-hf
77.25 sophosympatheia/Midnight-Miqu-70B-v1.5

Stats:
Self bias: 0.22
Family bias: -0.69
mean_score 72.14
range 31.31
std_dev 7.1
CV 0.1
std_dev_top_5 1.28
pearson_arena_elo 0.76
kendall_arena_elo 0.64
pearson_eq_bench 0.76
kendall_eq_bench 0.59
pearson_top_8_arena_elo 0.61
kendall_top_8_arena_elo 0.2
pearson_top_8_eq_bench 0.4
kendall_top_8_eq_bench 0.14
Judgemark 49.93
Cost: $15.00
