# Judge: mistral-small

# Test model scores:
76.38 gpt-4-0125-preview
73.3 claude-3-opus-20240229
76.4 claude-3-sonnet-20240229
73.67 claude-3-haiku-20240307
67.89 mistral-small
73.46 mistral-medium
72.85 mistral-large-2402
61.32 gpt-3.5-turbo-0301
79.96 01-ai/Yi-34B-Chat
66.56 openchat/openchat-3.5-1210
64.66 garage-bAInd/Platypus2-70B-instruct
71.99 mistralai/Mixtral-8x7B-Instruct-v0.1
71.48 Qwen/Qwen1.5-14B-Chat
47.27 Qwen/Qwen1.5-4B-Chat
61.26 google/gemma-2b-it
62.2 google/gemma-7b-it
58.09 meta-llama/Llama-2-7b-chat-hf
65.53 meta-llama/Llama-2-13b-chat-hf
75.6 sophosympatheia/Midnight-Miqu-70B-v1.5

# Stats:
mean_score 68.41421052631578
range 32.68999999999999
std_dev 7.9961895896243185
CV 0.11687907421731562
std_dev_top_5 2.2785346168096696
pearson_arena_elo 0.7933013262373004
kendall_arena_elo 0.6571428571428571
pearson_eq_bench 0.7785158193641045
kendall_eq_bench 0.5147058823529411
pearson_top_8_arena_elo -0.3446876758883198
kendall_top_8_arena_elo -0.14285714285714288
pearson_top_8_eq_bench -0.24755121709417743
kendall_top_8_eq_bench -0.4285714285714286
Judgemark Score: 30.94
Cost: $1.30
